"population_id","year","abundance","Trend","geometry"
1965,1987,"930","Decreasing",c(1.61694, 55.63306)
1965,1988,"812","Decreasing",c(1.61694, 55.63306)
1965,1989,"892","Decreasing",c(1.61694, 55.63306)
1965,1990,"1004","Decreasing",c(1.61694, 55.63306)
1965,1991,"927","Decreasing",c(1.61694, 55.63306)
1965,1992,"985","Decreasing",c(1.61694, 55.63306)
1965,1993,"1051","Decreasing",c(1.61694, 55.63306)
1965,1994,"1025","Decreasing",c(1.61694, 55.63306)
1965,1995,"1070","Decreasing",c(1.61694, 55.63306)
1965,1996,"1061","Decreasing",c(1.61694, 55.63306)
1965,1997,"1284","Decreasing",c(1.61694, 55.63306)
1965,1998,"1309","Decreasing",c(1.61694, 55.63306)
1965,1999,"843","Decreasing",c(1.61694, 55.63306)
1965,2000,"1171","Decreasing",c(1.61694, 55.63306)
1965,2001,"1247","Decreasing",c(1.61694, 55.63306)
1980,1984,"226","Increasing",c(-5.69972, 56.20972)
1980,1985,"136","Increasing",c(-5.69972, 56.20972)
1980,1986,"204","Increasing",c(-5.69972, 56.20972)
1980,1987,"234","Increasing",c(-5.69972, 56.20972)
1980,1988,"246","Increasing",c(-5.69972, 56.20972)
1980,1989,"277","Increasing",c(-5.69972, 56.20972)
1980,1990,"221","Increasing",c(-5.69972, 56.20972)
1980,1991,"271","Increasing",c(-5.69972, 56.20972)
1980,1992,"341","Increasing",c(-5.69972, 56.20972)
1980,1993,"385","Increasing",c(-5.69972, 56.20972)
1980,1994,"356","Increasing",c(-5.69972, 56.20972)
1980,1995,"429","Increasing",c(-5.69972, 56.20972)
1980,1996,"414","Increasing",c(-5.69972, 56.20972)
1980,1997,"448","Increasing",c(-5.69972, 56.20972)
1980,1998,"427","Increasing",c(-5.69972, 56.20972)
1980,1999,"352","Increasing",c(-5.69972, 56.20972)
1980,2000,"392","Increasing",c(-5.69972, 56.20972)
1980,2001,"350","Increasing",c(-5.69972, 56.20972)
1982,1973,"503","Increasing",c(-2.83, 59.12972)
1982,1974,"525","Increasing",c(-2.83, 59.12972)
1982,1975,"483","Increasing",c(-2.83, 59.12972)
1982,1976,"605","Increasing",c(-2.83, 59.12972)
1982,1977,"679","Increasing",c(-2.83, 59.12972)
1982,1978,"333","Increasing",c(-2.83, 59.12972)
1982,1979,"546","Increasing",c(-2.83, 59.12972)
1982,1980,"496","Increasing",c(-2.83, 59.12972)
1982,1981,"442","Increasing",c(-2.83, 59.12972)
1982,1982,"454","Increasing",c(-2.83, 59.12972)
2027,1971,"15143","Increasing",c(-83.52778, 10.5975)
2027,1972,"20293","Increasing",c(-83.52778, 10.5975)
2027,1973,"10335","Increasing",c(-83.52778, 10.5975)
2027,1974,"15230","Increasing",c(-83.52778, 10.5975)
2027,1975,"17309","Increasing",c(-83.52778, 10.5975)
2027,1976,"32419","Increasing",c(-83.52778, 10.5975)
2027,1977,"8762","Increasing",c(-83.52778, 10.5975)
2027,1978,"40127","Increasing",c(-83.52778, 10.5975)
2027,1979,"3982","Increasing",c(-83.52778, 10.5975)
2027,1980,"40445","Increasing",c(-83.52778, 10.5975)
2027,1981,"12111","Increasing",c(-83.52778, 10.5975)
2027,1982,"41189","Increasing",c(-83.52778, 10.5975)
2027,1983,"33065","Increasing",c(-83.52778, 10.5975)
2027,1984,"29608","Increasing",c(-83.52778, 10.5975)
2027,1985,"24383","Increasing",c(-83.52778, 10.5975)
2027,1986,"75034","Increasing",c(-83.52778, 10.5975)
2027,1987,"20509","Increasing",c(-83.52778, 10.5975)
2027,1988,"51421","Increasing",c(-83.52778, 10.5975)
2027,1989,"23151","Increasing",c(-83.52778, 10.5975)
2027,1990,"23280","Increasing",c(-83.52778, 10.5975)
2027,1991,"54651","Increasing",c(-83.52778, 10.5975)
2027,1992,"17015","Increasing",c(-83.52778, 10.5975)
2027,1993,"84835","Increasing",c(-83.52778, 10.5975)
2027,1994,"22846","Increasing",c(-83.52778, 10.5975)
2027,1995,"51226","Increasing",c(-83.52778, 10.5975)
2027,1996,"34326","Increasing",c(-83.52778, 10.5975)
2027,1997,"36844","Increasing",c(-83.52778, 10.5975)
2027,1998,"92523","Increasing",c(-83.52778, 10.5975)
2027,1999,"21051","Increasing",c(-83.52778, 10.5975)
2027,2000,"78211","Increasing",c(-83.52778, 10.5975)
2027,2001,"90395","Increasing",c(-83.52778, 10.5975)
2027,2002,"74042","Increasing",c(-83.52778, 10.5975)
2027,2003,"62274","Increasing",c(-83.52778, 10.5975)
2027,2004,"66024","Increasing",c(-83.52778, 10.5975)
2027,2005,"91615","Increasing",c(-83.52778, 10.5975)
2241,1984,"4600","Decreasing",c(-103.53333, 18.4)
2241,1985,"2990","Decreasing",c(-103.53333, 18.4)
2241,1986,"5200","Decreasing",c(-103.53333, 18.4)
2241,1987,"3700","Decreasing",c(-103.53333, 18.4)
2241,1988,"1980","Decreasing",c(-103.53333, 18.4)
2241,1989,"1700","Decreasing",c(-103.53333, 18.4)
2241,1990,"1500","Decreasing",c(-103.53333, 18.4)
2241,1991,"1300","Decreasing",c(-103.53333, 18.4)
2241,1992,"1200","Decreasing",c(-103.53333, 18.4)
2241,1993,"100","Decreasing",c(-103.53333, 18.4)
2395,1986,"1455","Increasing",c(35.58333, -3.16667)
2395,1987,"2855","Increasing",c(35.58333, -3.16667)
2395,1988,"2114","Increasing",c(35.58333, -3.16667)
2395,1989,"859","Increasing",c(35.58333, -3.16667)
2395,1990,"2005","Increasing",c(35.58333, -3.16667)
2395,1991,"2417","Increasing",c(35.58333, -3.16667)
2395,1992,"1445","Increasing",c(35.58333, -3.16667)
2395,1993,"2514","Increasing",c(35.58333, -3.16667)
2395,1994,"1509","Increasing",c(35.58333, -3.16667)
2395,1995,"1974","Increasing",c(35.58333, -3.16667)
2395,1996,"1663","Increasing",c(35.58333, -3.16667)
2395,1997,"3600","Increasing",c(35.58333, -3.16667)
2395,1998,"2564","Increasing",c(35.58333, -3.16667)
2395,1999,"3345","Increasing",c(35.58333, -3.16667)
2395,2000,"1778","Increasing",c(35.58333, -3.16667)
2395,2001,"1225","Increasing",c(35.58333, -3.16667)
